Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
3448.11,617,33,17.27
3453.18,643,37,17.27
3458.26,802,61,17.61
3463.33,1308,138,17.61
3468.40,2919,383,17.61
3473.47,1553,175,17.61
3478.54,1341,143,17.95
3483.61,1013,93,17.95
3488.69,1126,110,17.95
3493.76,905,76,17.95
3498.83,802,61,17.95
3503.90,719,48,17.95
3508.97,711,47,17.95
3514.04,681,42,17.95
3519.12,656,39,17.95
3524.19,665,40,17.95
3529.26,665,40,17.95
3534.33,719,48,18.29
3539.40,656,39,17.95
3544.48,741,51,17.95
3549.55,630,35,17.95
3554.62,625,34,17.95
3559.69,590,28,17.95
3564.76,594,29,17.95
3569.84,575,26,17.61
3574.91,561,24,17.61
3579.98,700,45,17.27
3585.05,565,25,17.27
3590.13,542,21,17.27
3595.20,575,26,17.27
3600.27,1045,98,16.94
3605.34,643,37,16.94
3610.41,594,29,16.61
3615.48,817,63,16.94
3620.55,706,46,16.61
3625.63,821,64,16.61
3630.70,643,37,16.94
3635.77,855,69,16.94
3640.84,685,43,16.94
3645.91,620,33,16.94
3650.98,700,45,17.27
3656.05,719,48,17.27
3661.13,802,61,17.27
3666.20,889,74,17.27
3671.27,863,70,17.27
3676.34,1092,105,17.61
3681.41,821,64,17.61
3686.49,817,63,17.61
3691.55,1050,99,17.61
3696.63,1013,93,17.95
3701.70,1400,152,17.95
3706.77,1308,138,17.95
3711.84,1489,165,17.95
3716.91,946,83,17.95
3721.99,806,61,17.95
3727.06,763,55,17.95
3732.13,711,47,17.95
3737.20,728,49,17.95
3742.27,846,67,17.95
3747.35,1156,115,17.95
3752.42,1835,218,17.95
3757.49,1282,134,18.29
3762.56,1600,182,18.29
3767.63,2072,254,18.29
3772.71,1029,95,18.29
3777.78,897,75,18.29
3782.85,830,65,17.95
3787.92,787,58,17.95
3792.99,767,55,17.95
3798.06,735,51,17.95
3803.14,711,47,17.95
3808.21,719,48,17.95
3813.28,681,42,17.95
3818.35,665,40,17.95
3823.42,905,76,18.29
3828.50,1245,128,18.29
3833.57,2513,321,18.29
3838.64,2537,325,18.29
3843.71,1694,197,18.75
3848.78,1341,143,18.75
3853.85,1515,169,18.75
3858.92,1753,206,18.75
3864.00,1172,117,18.29
3869.07,998,91,18.75
3874.14,1769,208,18.29
3879.21,1004,92,18.75
3884.28,930,80,18.75
3889.35,863,70,18.29
3894.43,838,66,18.29
3899.50,830,65,18.29
3904.57,1295,136,18.29
3909.64,897,75,18.29
3914.72,921,79,18.29
3919.79,787,58,18.29
3924.86,754,53,18.29
3929.93,741,51,18.29
3935.00,941,82,18.29
3940.07,2189,272,18.29
3945.15,1385,150,17.95
3950.22,1227,125,17.95
3955.29,855,69,18.29
3960.36,855,69,18.29
3965.43,802,61,18.29
3970.50,787,58,18.29
3975.57,1275,133,18.29
3980.65,1530,172,18.29
3985.72,1477,164,18.29
3990.79,2168,269,18.75
3995.86,1308,138,18.75
4000.93,1013,93,18.75
4006.00,941,82,18.75
4011.08,960,85,18.75
4016.15,1400,152,18.75
4021.22,1499,167,18.75
4026.29,2513,321,18.75
4031.36,2598,334,18.75
4036.43,1245,128,18.75
4041.50,1013,93,18.75
4046.58,970,86,18.75
4051.65,1183,119,18.75
4056.72,905,76,18.75
4061.79,905,76,18.75
4066.86,941,82,18.75
4071.93,838,66,18.75
4077.00,787,58,18.75
4082.08,905,76,18.75
4087.15,821,64,18.75
4092.22,1183,119,18.75
4097.29,1341,143,18.75
4102.36,1029,95,18.75
4107.43,1944,235,18.75
4112.50,1013,93,18.75
4117.58,930,80,18.75
4122.65,889,74,18.29
4127.72,846,67,18.75
4132.79,817,63,18.75
4137.86,795,60,18.29
4142.93,780,57,18.29
4148.00,763,55,18.29
4153.08,802,61,18.29
4158.15,774,56,18.29
4163.22,741,51,18.29
4168.29,855,69,18.29
4173.36,1282,134,18.75
4178.43,1385,150,18.75
4183.50,1308,138,18.75
4188.58,2445,311,18.75
4193.65,1354,145,18.75
4198.72,1126,110,19.10
4203.79,1004,92,18.75
4208.86,941,82,18.75
4213.94,897,75,19.10
4219.01,855,69,18.75
4224.08,821,64,18.75
4229.15,802,61,18.75
4234.22,787,58,18.75
4239.29,802,61,18.75
4244.36,795,60,18.75
4249.43,780,57,18.75
4254.50,754,53,18.75
4259.58,741,51,18.75
4264.65,787,58,18.75
4269.72,1515,169,18.75
4274.79,1013,93,18.29
4279.87,1147,113,18.29
4284.94,985,89,18.75
4290.01,1295,136,18.75
4295.08,1029,95,18.75
4300.15,946,83,18.75
4305.22,1463,161,18.75
4310.29,1045,98,18.75
4315.36,915,78,18.75
4320.44,889,74,18.75
4325.51,855,69,18.75
4330.58,998,91,18.75
4335.65,985,89,18.75
4340.72,1195,121,18.75
4345.79,863,70,18.75
4350.87,821,64,18.75
4355.94,821,64,18.75
