Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
65121.14,7992,1156,29.43
65126.21,5182,728,28.99
65131.28,5587,790,28.99
65136.36,7992,1156,28.99
65141.43,7992,1156,28.99
65146.50,7992,1156,28.99
65151.57,7992,1156,28.99
65156.64,6454,922,28.99
65161.71,3691,501,28.99
65166.82,4266,588,28.54
65171.89,2992,394,28.54
65176.96,3741,508,28.54
65182.04,7992,1156,28.54
65187.11,7992,1156,28.54
65192.18,7992,1156,28.54
65197.25,4816,672,28.54
65202.32,3512,474,28.54
65207.39,2860,374,28.54
65212.46,3209,427,28.54
65217.54,2497,319,28.54
65222.61,2158,267,28.09
65227.68,1994,242,28.09
65232.75,1811,214,28.09
65237.82,2825,369,27.66
65242.90,2369,299,27.66
65247.97,1746,205,27.66
65253.04,3645,494,27.66
65258.11,6249,891,27.66
65263.18,6757,968,28.09
65268.26,7112,1022,28.09
65273.33,7992,1156,28.09
65278.40,7992,1156,28.09
65283.47,7992,1156,28.54
65288.54,3741,508,28.54
65293.61,2961,390,28.09
65298.69,2541,326,28.09
65303.76,2369,299,28.09
65308.83,2174,270,28.09
65313.90,2058,252,28.09
65318.97,3835,523,28.09
65324.04,7992,1156,28.09
65329.12,7992,1156,28.09
65334.19,7992,1156,28.09
65339.26,7992,1156,28.09
65344.33,7992,1156,28.54
65349.40,7992,1156,28.54
65354.48,7992,1156,28.54
65359.55,4086,561,28.54
65364.62,3237,432,28.54
65369.69,3101,411,28.54
65374.77,3835,523,28.54
65379.84,2625,338,28.09
65384.91,2324,293,28.09
65389.98,2739,356,28.09
65395.05,7250,1043,28.09
65400.13,7992,1156,28.09
65405.20,7992,1156,28.09
65410.27,3237,432,28.09
65415.34,2520,322,27.66
65420.41,2520,322,27.66
65425.48,2302,289,27.66
65430.55,1975,239,27.23
65435.63,1822,216,27.23
65440.70,1736,203,27.23
65445.77,1618,185,27.23
65450.84,1701,198,27.23
65455.91,2860,374,27.23
65460.98,6869,985,27.66
65466.06,3691,501,27.66
65471.13,7992,1156,27.66
65476.20,7992,1156,27.66
65481.27,7992,1156,27.66
65486.35,7992,1156,27.66
65491.42,7992,1156,28.09
65496.49,7250,1043,28.09
65501.56,7992,1156,28.09
65506.63,4319,597,28.09
65511.70,3023,399,28.09
65516.78,2652,343,27.66
65521.85,3237,432,28.09
65526.92,5030,705,28.09
65531.99,4037,554,27.66
65537.07,2598,334,27.66
65542.14,2158,267,27.66
65547.22,1975,239,27.23
65552.29,3268,436,27.23
65557.36,2765,360,27.23
65562.43,3064,405,26.80
65567.51,2890,379,26.80
65572.58,3176,422,27.23
65577.65,2625,338,26.80
65582.73,1994,242,26.80
65587.80,1854,221,26.80
65592.87,1905,229,26.80
65597.94,1905,229,26.80
65603.01,4154,571,27.23
65608.08,2242,280,27.23
65613.16,1854,221,27.23
65618.23,1671,193,26.80
65623.30,4963,695,26.80
65628.37,7992,1156,26.80
65633.44,3237,432,26.80
65638.51,2158,267,26.80
65643.58,1905,229,26.80
65648.66,2497,319,26.24
65653.73,7992,1156,26.80
65658.80,3394,456,26.80
65663.87,4319,597,26.80
65668.95,2449,312,26.80
65674.02,3349,449,26.80
65679.09,6536,934,26.80
65684.16,7992,1156,26.80
65689.23,5353,754,27.23
65694.31,4897,685,26.80
65699.38,5262,740,27.23
65704.45,4154,571,27.23
65709.52,4816,672,27.23
65714.59,4086,561,27.23
65719.67,4504,625,27.23
65724.74,4086,561,27.23
65729.81,2801,365,27.23
65734.88,5951,845,27.23
65739.95,7992,1156,27.23
65745.02,7992,1156,27.66
65750.09,7992,1156,27.66
65755.17,7992,1156,27.66
65760.24,7992,1156,27.66
65765.31,7992,1156,27.66
65770.38,7250,1043,27.66
65775.46,3314,443,27.23
65780.53,3555,480,27.23
65785.60,2598,334,26.80
65790.67,2598,334,26.80
65795.74,5587,790,26.80
65800.81,3064,405,26.80
65805.89,2416,307,26.80
65810.96,3512,474,27.23
65816.03,3741,508,26.80
65821.10,2520,322,27.23
65826.17,2027,247,26.80
65831.24,1841,219,26.80
65836.32,2058,252,26.80
65841.39,1689,196,26.80
65846.47,2096,258,26.80
65851.54,4621,643,26.80
65856.61,7992,1156,26.80
65861.68,7626,1100,26.80
65866.75,4210,580,26.80
65871.82,2739,356,26.80
65876.90,2242,280,26.80
65881.97,2015,246,26.80
65887.04,1890,226,26.80
65892.11,1777,209,26.80
65897.19,1671,193,26.80
65902.26,3176,422,26.80
65907.33,2765,360,26.80
65912.40,1736,203,26.24
65917.47,5110,717,26.80
65922.55,7992,1156,26.80
65927.62,7992,1156,26.80
65932.69,4688,653,26.80
65937.76,7992,1156,26.80
65942.83,7992,1156,27.23
65947.91,7992,1156,27.23
65952.98,3883,530,27.23
65958.05,3607,488,27.23
65963.12,7992,1156,27.23
65968.20,7992,1156,27.23
65973.27,7992,1156,27.23
65978.34,7992,1156,27.66
65983.41,7992,1156,27.66
65988.48,7992,1156,27.66
65993.55,7992,1156,27.66
65998.63,6757,968,27.66
66003.70,4086,561,27.66
66008.77,7992,1156,27.66
66013.84,7112,1022,27.66
66018.92,6647,951,27.66
66023.99,4086,561,27.23
66029.06,4266,588,27.23
66034.13,5182,728,27.23
66039.20,6038,858,27.23
66044.28,5110,717,27.23
66049.35,3645,494,27.23
66054.42,2765,360,27.23
66059.49,3691,501,26.80
66064.56,7992,1156,27.23
66069.63,7992,1156,27.23
66074.71,7992,1156,27.23
66079.78,7992,1156,27.23
66084.85,7992,1156,27.66
66089.92,6984,1003,27.66
66095.00,3430,461,27.23
66100.07,2825,369,27.23
66105.14,4210,580,27.23
66110.21,3209,427,27.23
66115.28,2541,326,27.23
66120.35,2197,273,26.80
66125.43,2015,246,26.80
66130.50,2197,273,26.80
66135.57,1777,209,26.24
66140.64,2263,283,26.80
66145.71,7992,1156,26.80
66150.79,7992,1156,26.80
66155.86,3787,515,26.80
66160.93,4319,597,27.23
66166.01,7992,1156,27.23
66171.08,7992,1156,27.23
66176.15,7992,1156,27.23
66181.22,7992,1156,27.23
66186.30,7992,1156,27.66
66191.37,7992,1156,27.66
66196.44,6454,922,27.66
66201.51,5860,831,27.66
66206.58,4621,643,27.66
66211.65,7992,1156,27.66
66216.73,7992,1156,27.66
66221.80,5110,717,27.66
66226.87,3268,436,27.66
66231.94,4319,597,27.66
66237.01,6249,891,27.66
66242.08,2929,385,27.66
66247.15,2520,322,27.66
66252.22,5030,705,27.66
66257.30,7992,1156,27.66
66262.37,4154,571,27.66
66267.44,2520,322,27.23
66272.51,2242,280,27.23
66277.58,3134,416,27.23
66282.65,7992,1156,27.23
66287.72,7992,1156,27.23
66292.79,7992,1156,27.66
66297.86,7992,1156,27.66
66302.94,7992,1156,27.66
66308.01,6647,951,27.66
66313.09,7992,1156,27.66
66318.16,7992,1156,27.66
66323.23,7992,1156,28.09
66328.30,7992,1156,28.09
66333.37,7992,1156,28.09
66338.44,7992,1156,28.09
66343.52,7992,1156,28.09
66348.59,7992,1156,28.09
66353.66,7992,1156,28.09
66358.73,7992,1156,28.54
66363.80,7992,1156,28.54
66368.87,7992,1156,28.54
66373.94,7992,1156,28.54
66379.02,7992,1156,28.54
66384.09,7992,1156,28.54
66389.16,5030,705,28.09
66394.23,6536,934,28.09
66399.30,4266,588,28.09
66404.38,3349,449,27.66
66409.45,4564,634,27.66
66414.52,2541,326,27.23
66419.59,2711,352,27.23
66424.66,5499,776,27.23
66429.73,3691,501,27.23
66434.80,6984,1003,27.23
66439.88,7992,1156,27.66
66444.95,7992,1156,27.66
66450.02,7992,1156,27.66
66455.09,7992,1156,28.09
66460.16,6869,985,27.66
66465.23,7992,1156,28.09
66470.31,7992,1156,28.09
66475.38,4210,580,28.09
66480.45,3787,515,28.09
66485.53,7369,1061,27.66
66490.60,7992,1156,27.66
66495.67,3314,443,27.66
66500.74,5110,717,27.66
66505.81,7490,1080,27.66
66510.88,7992,1156,27.66
66515.96,7992,1156,28.09
66521.03,7992,1156,28.09
66526.10,7992,1156,28.09
66531.17,7992,1156,28.09
66536.24,4816,672,28.09
66541.31,3237,432,27.66
66546.38,6249,891,27.66
66551.46,4564,634,27.66
66556.53,3023,399,27.66
66561.60,7992,1156,27.66
66566.67,4688,653,27.66
66571.74,3176,422,27.66
66576.81,2449,312,27.66
66581.89,3176,422,27.23
66586.96,6984,1003,27.23
66592.02,6454,922,27.23
66597.10,7992,1156,27.66
66602.17,7992,1156,27.66
66607.24,7992,1156,27.66
66612.31,7992,1156,27.66
66617.39,7992,1156,27.66
66622.46,7992,1156,28.09
66627.53,7992,1156,28.09
66632.60,7992,1156,28.09
66637.68,7992,1156,28.09
66642.75,7992,1156,28.09
66647.82,7112,1022,28.09
66652.89,4037,554,27.66
66657.96,4086,561,27.66
66663.03,2860,374,27.23
66668.10,2652,343,27.23
66673.18,2961,390,27.23
66678.25,3209,427,26.80
66683.32,7112,1022,27.23
66688.40,5750,815,27.23
66693.47,6454,922,27.23
66698.54,7369,1061,27.23
66703.61,7112,1022,27.66
66708.68,4154,571,27.66
66713.75,3930,537,27.23
66718.83,2825,369,27.23
66723.90,2765,360,27.23
66728.97,2263,283,27.23
66734.04,3134,416,27.23
66739.11,3134,416,26.80
66744.18,6757,968,26.80
66749.26,7992,1156,27.23
66754.33,7250,1043,27.23
66759.40,4752,663,27.23
66764.47,3314,443,27.23
66769.55,6454,922,27.23
66774.62,7626,1100,27.23
66779.69,7992,1156,27.23
66784.77,7992,1156,27.23
66789.84,7992,1156,27.66
66794.91,7992,1156,27.66
66799.98,7992,1156,27.66
66805.05,4431,614,27.23
66810.13,3209,427,27.23
66815.20,3741,508,27.23
66820.27,4897,685,27.23
66825.34,7992,1156,27.23
66830.41,6757,968,27.23
66835.48,3268,436,27.23
66840.55,5499,776,27.23
66845.63,7992,1156,27.23
66850.70,7992,1156,27.66
66855.77,7992,1156,27.66
66860.84,3555,480,27.23
66865.91,4963,695,27.66
66870.98,7992,1156,27.66
66876.05,7992,1156,27.66
66881.13,6249,891,27.23
66886.20,5951,845,27.66
66891.27,7992,1156,27.66
66896.34,5663,801,27.66
66901.41,6454,922,27.66
66906.48,7992,1156,27.66
66911.55,4319,597,27.66
66916.63,3787,515,27.66
66921.70,3555,480,27.23
66926.77,7490,1080,27.23
66931.84,7992,1156,27.23
66936.91,4154,571,27.66
66941.98,3512,474,27.23
66947.06,6454,922,27.23
66952.13,7992,1156,27.66
66957.20,7992,1156,27.66
66962.27,7992,1156,27.66
66967.34,4688,653,27.66
66972.41,3176,422,27.66
66977.48,2961,390,27.66
66982.55,5499,776,27.23
66987.63,3237,432,27.23
66992.70,2497,319,27.23
66997.77,2263,283,27.23
67002.84,2683,347,27.23
67007.91,2216,276,26.80
67012.98,4037,554,26.80
67018.06,3979,545,26.80
67023.13,3835,523,26.80
67028.20,6869,985,26.80
67033.27,6536,934,26.80
67038.34,7992,1156,26.80
67043.41,5750,815,26.80
67048.48,5030,705,27.23
67053.56,7992,1156,27.23
67058.63,7992,1156,27.23
67063.70,7992,1156,27.23
67068.77,7992,1156,27.66
67073.84,7992,1156,27.66
67078.92,7992,1156,27.66
67083.99,7992,1156,27.66
67089.07,7992,1156,27.66
67094.14,7992,1156,27.66
67099.21,7992,1156,27.66
67104.28,7992,1156,28.09
67109.36,7907,1143,28.09
67114.43,6647,951,28.09
67119.50,7992,1156,28.09
67124.57,7992,1156,28.09
67129.64,7992,1156,28.09
67134.71,7992,1156,28.09
67139.78,7992,1156,28.09
67144.86,7992,1156,28.09
67149.93,7369,1061,28.09
67155.00,7992,1156,28.09
67160.07,5353,754,28.09
67165.14,7992,1156,28.09
67170.21,7992,1156,28.09
67175.29,7992,1156,28.09
67180.36,7992,1156,28.09
67185.43,4963,695,28.09
67190.50,7992,1156,28.09
67195.57,7992,1156,28.09
67200.66,7992,1156,28.09
67205.73,7992,1156,28.09
67210.80,6869,985,28.09
67215.87,3607,488,28.09
67220.95,3394,456,28.09
67226.02,2801,365,27.66
67231.09,2541,326,27.66
67236.16,7992,1156,27.66
67241.23,6038,858,27.23
67246.30,2683,347,27.23
67251.38,7907,1143,27.23
67256.45,2801,365,26.80
67261.52,2739,356,26.80
67266.59,2134,264,26.80
67271.66,1940,234,26.80
67276.73,3064,405,26.80
67281.80,5587,790,26.80
67286.88,6647,951,26.80
67291.95,3607,488,26.80
67297.02,5951,845,26.80
67302.09,5182,728,26.80
67307.17,7992,1156,26.80
67312.24,5663,801,26.80
67317.31,7992,1156,26.80
67322.38,7992,1156,27.23
67327.45,7768,1122,27.23
67332.52,7992,1156,27.23
67337.60,7992,1156,27.66
67342.67,5110,717,27.23
67347.74,3349,449,27.23
67352.81,2625,338,26.80
67357.88,2598,334,26.80
67362.95,7490,1080,27.23
67368.02,7992,1156,27.23
67373.10,7992,1156,27.23
67378.17,7992,1156,27.23
67383.25,7992,1156,27.23
67388.32,7992,1156,27.23
67393.39,4621,643,27.66
67398.46,7992,1156,27.66
67403.54,7992,1156,27.66
67408.61,7992,1156,27.66
67413.68,7992,1156,27.66
67418.76,7992,1156,27.66
67423.83,7369,1061,27.66
67428.90,3430,461,27.66
67433.97,6536,934,27.66
67439.04,7992,1156,27.66
67444.11,7992,1156,27.66
67449.18,7490,1080,27.66
67454.26,7992,1156,28.09
67459.33,7250,1043,27.66
67464.40,6984,1003,27.66
67469.47,7992,1156,27.66
67474.54,7992,1156,28.09
67479.61,6454,922,28.09
67484.69,7490,1080,28.09
67489.76,7992,1156,28.09
67494.83,5750,815,28.09
67499.90,7768,1122,28.09
67504.98,3835,523,28.09
67510.05,7992,1156,28.09
67515.12,7992,1156,28.09
67520.19,7992,1156,28.09
67525.26,7992,1156,28.09
67530.33,7992,1156,28.09
67535.41,7992,1156,28.09
67540.48,7992,1156,28.09
67545.55,5750,815,28.09
67550.63,3787,515,28.09
67555.70,3476,468,28.09
67560.77,3023,399,28.09
67565.84,2739,356,28.09
67570.91,4504,625,28.09
67575.98,7992,1156,28.09
67581.05,4504,625,28.09
67586.13,5030,705,28.09
67591.20,7992,1156,28.09
67596.27,7992,1156,28.09
67601.34,7992,1156,28.09
67606.41,7992,1156,28.09
67611.48,7992,1156,28.09
67616.55,7250,1043,28.09
67621.63,7992,1156,28.09
67626.70,7992,1156,28.09
67631.77,5110,717,28.09
67636.84,3314,443,28.09
67641.91,3134,416,27.66
67646.99,2625,338,27.66
67652.06,2369,299,27.66
67657.13,3883,530,27.66
67662.20,4564,634,27.66
67667.27,7992,1156,27.66
67672.34,7992,1156,27.66
67677.42,6249,891,27.66
67682.49,3430,461,27.23
67687.56,2576,331,27.23
67692.64,2369,299,27.23
67697.71,2282,286,27.23
67702.78,3512,474,27.23
67707.86,7992,1156,27.23
67712.93,4210,580,27.23
67718.00,6249,891,27.23
67723.07,2992,394,27.23
67728.14,3209,427,27.23
67733.22,3691,501,27.23
67738.29,2739,356,27.23
67743.36,2158,267,27.23
67748.43,2890,379,27.23
67753.50,7992,1156,27.23
67758.57,6757,968,27.23
67763.65,7992,1156,27.23
67768.72,3476,468,27.23
67773.79,5414,763,27.23
67778.86,3930,537,27.23
67783.93,7907,1143,27.66
67789.00,3209,427,27.23
67794.08,2541,326,27.23
67799.15,2263,283,27.23
67804.22,2078,255,27.23
67809.29,2114,261,26.80
67814.37,1994,242,27.23
67819.44,1790,211,26.80
67824.51,1671,193,26.80
67829.58,1613,184,26.80
67834.65,1562,177,26.80
67839.72,1854,221,26.80
67844.80,1588,180,26.80
67849.87,2683,347,26.24
67854.94,1662,192,26.24
67860.02,1534,172,26.24
67865.09,1488,165,26.24
67870.16,1385,150,26.24
67875.23,2197,273,26.24
67880.30,7992,1156,26.24
67885.37,2992,394,26.24
67890.44,1994,242,26.24
67895.51,2078,255,26.24
67900.58,2520,322,26.24
67905.66,3349,449,26.24
67910.73,7992,1156,26.24
67915.80,3645,494,26.24
67920.87,5750,815,26.24
67925.95,4963,695,26.24
67931.02,2652,343,26.24
67936.09,2369,299,26.24
67941.16,2114,261,26.24
67946.23,1975,239,26.24
67951.30,2058,252,26.24
67956.37,3476,468,26.24
67961.45,2058,252,26.24
67966.52,1841,219,26.24
67971.59,1841,219,26.24
67976.66,4372,605,26.24
67981.73,3691,501,26.24
67986.80,2114,261,26.24
67991.88,2058,252,26.24
67996.95,2302,289,26.24
68002.02,7992,1156,26.24
68007.09,7992,1156,26.24
68012.16,7907,1143,26.80
68017.23,4752,663,26.80
68022.31,5414,763,26.80
68027.38,6869,985,26.80
68032.45,3787,515,26.80
68037.52,2860,374,26.80
68042.59,3555,480,26.80
68047.66,3268,436,26.24
68052.74,3209,427,26.24
68057.81,3023,399,26.80
68062.88,6249,891,26.80
68067.95,2471,315,26.24
68073.02,2197,273,26.80
68078.09,2497,319,26.80
68083.16,5499,776,26.80
68088.24,7992,1156,26.80
68093.31,7992,1156,26.80
68098.38,7112,1022,27.23
68103.45,7907,1143,27.23
68108.52,7992,1156,27.23
68113.60,5750,815,27.23
68118.67,6350,906,27.23
68123.74,7992,1156,27.23
68128.81,7992,1156,27.23
68133.89,7992,1156,27.23
68138.96,7992,1156,27.66
68144.03,7992,1156,27.66
68149.11,7992,1156,27.66
68154.18,7992,1156,27.66
68159.25,7992,1156,27.66
68164.32,7992,1156,27.66
68169.40,7992,1156,28.09
68174.47,7626,1100,28.09
68179.54,7369,1061,28.09
68184.61,7992,1156,27.66
68189.68,7250,1043,28.09
68194.76,7992,1156,28.09
68199.83,7992,1156,28.09
68204.90,7992,1156,28.09
68209.97,5750,815,28.09
68215.04,4963,695,28.09
68220.12,7992,1156,28.09
68225.19,7992,1156,28.09
68230.26,5663,801,28.09
68235.33,7992,1156,28.09
68240.41,6350,906,27.66
68245.48,6536,934,28.09
68250.55,7992,1156,28.09
68255.62,7992,1156,28.09
68260.69,7992,1156,28.09
68265.77,7992,1156,28.09
68270.84,5750,815,28.09
68275.91,3835,523,28.09
68280.98,5414,763,28.09
68286.05,7992,1156,28.09
68291.13,7992,1156,28.09
68296.20,7992,1156,28.09
68301.27,7992,1156,28.09
68306.34,4963,695,28.09
68311.41,4266,588,28.09
68316.48,7992,1156,28.09
68321.56,6647,951,28.09
68326.63,4210,580,28.09
68331.70,3349,449,27.66
68336.78,6984,1003,28.09
68341.85,3741,508,27.66
68346.92,4431,614,27.66
68351.99,3512,474,27.66
68357.06,4963,695,27.66
68362.14,2801,365,27.66
68367.21,2992,394,27.23
68372.28,4504,625,27.23
68377.35,7992,1156,27.66
68382.42,7992,1156,27.66
68387.50,7992,1156,27.66
68392.57,7992,1156,27.66
68397.64,5110,717,27.66
68402.71,5182,728,27.66
68407.78,5860,831,27.23
68412.85,6134,873,27.23
68417.93,7992,1156,27.66
68423.00,7992,1156,27.66
68428.07,7992,1156,27.66
68433.15,4210,580,27.66
68438.22,3930,537,27.66
68443.29,6757,968,27.23
68448.36,3430,461,27.66
68453.43,5110,717,27.23
68458.51,5499,776,27.66
68463.59,5587,790,27.23
68468.66,7992,1156,27.66
68473.73,7992,1156,27.66
68478.80,7992,1156,27.66
68483.87,7992,1156,27.66
68488.95,6038,858,27.66
68494.02,6869,985,27.66
68499.09,5030,705,27.66
68504.16,5951,845,27.66
68509.23,5353,754,27.66
68514.30,3607,488,27.66
68519.38,2739,356,27.23
68524.45,2394,303,27.23
68529.52,5587,790,27.23
68534.59,3607,488,27.23
68539.66,2625,338,27.23
68544.73,4266,588,27.23
68549.80,2394,303,27.23
68554.88,2078,255,27.23
68559.95,1870,223,27.23
68565.02,1746,205,26.80
68570.09,1689,196,26.80
68575.16,2078,255,26.80
68580.23,1662,192,26.24
68585.30,1574,178,26.80
68590.38,1488,165,26.80
68595.45,1405,153,26.24
68600.52,1428,156,26.24
68605.59,1353,145,26.24
68610.67,1305,137,26.24
68615.74,1258,130,26.24
68620.81,1225,125,26.24
68625.89,1188,120,26.24
68630.96,1156,115,25.82
68636.03,1127,110,25.82
68641.10,1108,107,25.82
68646.18,1081,103,25.82
68651.25,1068,101,25.82
68656.32,1054,99,25.82
68661.39,1841,219,25.82
68666.46,2369,299,25.82
68671.53,2324,293,25.82
68676.60,1811,214,25.82
68681.68,1524,171,25.82
68686.75,1397,151,25.82
68691.82,1338,142,25.82
68696.89,1268,132,25.41
68701.96,1232,126,25.41
68707.04,1204,122,25.41
68712.11,1173,117,25.41
68717.18,1147,113,25.41
68722.25,1141,112,25.41
68727.32,1147,113,25.41
68732.39,1116,109,25.41
68737.47,1127,110,25.00
68742.54,1204,122,25.00
68747.61,1225,125,25.00
68752.68,1162,116,25.00
68757.76,1108,107,25.00
68762.83,1094,105,25.00
68767.91,1081,103,25.00
68772.98,1075,102,25.00
68778.05,1060,100,25.00
68783.12,1047,98,25.00
68788.19,1047,98,24.60
68793.27,1040,97,24.60
68798.34,1035,96,24.60
68803.41,1040,97,24.60
68808.48,1035,96,24.60
68813.55,1019,94,24.60
68818.62,1040,97,24.60
68823.70,1345,143,24.60
68828.77,1127,110,24.60
68833.84,1305,137,24.60
68838.91,1366,147,24.60
68843.98,1268,132,24.60
68849.05,1225,125,24.60
68854.13,1173,117,24.60
68859.20,1147,113,24.60
68864.27,1133,111,24.60
68869.34,1127,110,24.60
68874.41,1116,109,24.60
68879.48,1108,107,24.60
68884.55,1103,107,24.60
68889.63,1127,110,24.60
68894.70,1179,118,24.60
68899.77,1127,110,24.60
68904.84,1116,109,24.60
68909.91,1116,109,24.60
68914.98,1108,107,24.60
68920.06,1116,109,24.60
68925.13,1116,109,24.60
68930.20,1127,110,24.60
68935.28,1147,113,24.60
68940.35,1198,121,24.60
68945.43,1994,242,25.00
68950.50,2096,258,25.00
68955.57,1588,180,25.00
68960.64,1405,153,25.00
68965.71,1353,145,25.00
68970.78,1315,139,24.60
68975.85,1588,180,24.60
68980.93,1922,231,24.60
68986.00,1975,239,25.00
68991.07,5951,845,25.00
68996.14,3349,449,25.00
69001.21,2801,365,25.00
69006.28,2394,303,25.00
69011.36,2324,293,25.41
69016.43,2625,338,25.00
69021.50,2683,347,25.00
69026.57,2096,258,25.00
69031.65,1854,221,25.00
69036.72,1777,209,25.00
69041.79,1822,216,25.00
69046.86,1790,211,25.00
69051.94,1762,207,25.00
69057.01,1746,205,25.00
69062.08,1634,187,25.00
69067.15,1574,178,24.60
69072.23,1524,171,24.60
69077.30,1488,165,24.60
69082.38,1662,192,24.60
69087.45,1488,165,24.60
69092.52,1488,165,24.60
69097.59,2174,270,24.60
69102.66,2394,303,24.60
69107.73,1762,207,24.60
69112.80,1644,189,24.60
69117.88,1550,175,24.60
69122.95,1509,168,24.60
69128.02,1509,168,24.60
69133.09,1437,157,24.60
69138.16,1405,153,24.60
69143.23,1415,154,24.60
69148.30,1534,172,24.60
69153.38,1455,160,24.60
69158.45,1405,153,24.60
69163.52,1375,148,24.60
69168.59,1385,150,24.60
69173.67,1345,143,24.60
69178.74,1315,139,24.60
69183.81,1338,142,24.60
69188.88,1366,147,24.60
69193.95,1323,140,24.60
69199.02,1562,177,24.60
69204.10,1375,148,24.60
69209.17,1338,142,24.60
69214.24,1323,140,24.60
69219.31,2216,276,24.60
69224.38,2652,343,24.60
69229.46,1905,229,24.60
69234.54,4037,554,24.60
69239.61,7992,1156,25.00
69244.68,7992,1156,25.00
69249.75,2992,394,25.00
69254.82,2369,299,25.00
69259.89,2174,270,25.00
69264.97,2114,261,25.00
69270.04,2015,246,25.00
69275.11,1905,229,25.00
69280.18,1841,219,25.00
69285.25,1790,211,25.00
69290.32,2134,264,25.00
69295.40,3134,416,25.00
69300.47,2497,319,25.00
69305.54,2497,319,25.00
69310.61,2114,261,25.00
69315.69,2027,247,25.00
69320.76,1822,216,25.00
69325.83,1790,211,25.00
69330.90,1790,211,25.00
69335.97,1689,196,25.00
69341.04,1613,184,24.60
69346.11,1562,177,24.60
69351.19,1550,175,25.00
69356.26,1524,171,24.60
69361.33,1574,178,24.60
69366.41,1634,187,24.60
69371.48,1736,203,24.60
69376.55,3209,427,24.60
69381.63,2078,255,24.60
69386.70,1790,211,24.60
69391.77,2683,347,24.60
69396.84,2158,267,24.60
69401.91,1736,203,24.60
69406.98,1644,189,24.60
69412.05,1588,180,24.60
69417.13,1550,175,24.20
69422.20,1574,178,24.20
69427.27,2114,261,24.20
69432.34,1811,214,24.20
69437.41,1905,229,24.20
69442.48,2739,356,24.20
69447.55,2197,273,24.20
69452.63,1736,203,24.20
69457.70,2471,315,24.20
69462.77,1854,221,24.20
69467.84,1717,200,24.20
69472.91,1701,198,24.20
69477.98,2216,276,24.20
69483.06,2174,270,24.20
69488.13,3134,416,24.20
69493.20,5663,801,24.60
69498.27,5587,790,24.60
69503.34,6038,858,24.60
69508.41,3930,537,24.60
69513.48,3237,432,25.00
69518.56,2302,289,24.60
69523.63,2096,258,24.60
69528.70,2078,255,24.60
69533.77,2027,247,24.60
69538.85,2416,307,24.60
69543.92,2497,319,24.60
69548.99,2096,258,24.60
69554.06,1905,229,24.60
69559.14,1762,207,24.60
69564.21,1701,198,24.60
69569.28,1644,189,24.20
69574.36,1905,229,24.20
69579.43,2351,297,24.20
69584.50,1790,211,24.60
69589.57,1662,192,24.20
69594.64,1940,234,24.20
69599.72,1717,200,24.20
69604.81,4816,672,24.60
69609.89,5587,790,24.60
69614.96,7992,1156,24.60
69620.03,7992,1156,25.00
69625.10,7992,1156,25.00
69630.18,6984,1003,25.00
69635.25,4504,625,25.00
69640.32,3741,508,25.00
69645.39,4154,571,25.00
69650.46,3134,416,25.00
69655.53,2598,334,25.00
69660.60,2541,326,25.00
69665.68,2416,307,25.00
69670.75,2282,286,25.00
69675.82,2369,299,25.00
69680.89,3476,468,25.00
69685.96,4210,580,25.00
69691.04,4621,643,25.00
69696.11,7992,1156,25.00
69701.18,7992,1156,25.41
69706.26,3268,436,25.00
69711.33,2652,343,25.00
69716.40,2324,293,25.00
69721.47,2652,343,25.00
69726.54,3101,411,25.00
69731.61,2683,347,25.00
69736.68,2351,297,25.00
69741.76,2282,286,25.00
69746.83,2471,315,25.00
69751.90,2174,270,25.00
69756.97,2541,326,25.00
69762.05,2598,334,25.00
69767.12,3064,405,25.00
69772.19,2541,326,25.00
69777.27,2324,293,25.00
69782.34,2929,385,24.60
69787.41,2625,338,24.60
69792.48,1940,234,25.00
69797.55,1777,209,24.60
69802.63,1717,200,24.60
69807.70,2242,280,24.60
69812.77,1956,237,24.60
69817.84,2216,276,24.60
69822.91,2652,343,24.60
69827.98,2992,394,24.60
69833.05,2416,307,24.60
69838.13,2449,312,24.60
69843.20,2158,267,24.60
69848.28,1811,214,24.60
69853.35,1701,198,24.60
69858.42,1634,187,24.60
69863.50,1600,182,24.60
69868.57,1550,175,24.60
69873.64,3134,416,24.60
69878.72,2416,307,24.60
69883.79,1822,216,24.60
69888.86,1644,189,24.20
69893.94,1574,178,24.20
69899.01,1717,200,24.20
69904.08,1777,209,24.20
69909.15,1634,187,24.20
69914.22,1534,172,24.20
69919.30,1574,178,24.20
69924.37,1534,172,23.80
69929.44,2765,360,24.20
69934.52,1811,214,24.20
69939.59,1736,203,24.20
69944.66,1634,187,23.80
69949.73,1613,184,24.20
69954.80,1488,165,23.80
69959.88,1488,165,24.20
69964.95,1476,163,24.20
69970.02,1437,157,24.20
69975.09,1455,160,24.20
69980.16,1428,156,24.20
69985.23,1405,153,23.80
69990.31,1353,145,23.80
69995.38,1338,142,24.20
70000.46,1353,145,24.20
70005.53,1550,175,23.80
70010.60,1366,147,23.80
70015.68,1405,153,23.80
70020.75,1338,142,23.80
70025.82,1689,196,23.80
70030.89,1822,216,23.80
70035.97,1701,198,23.80
70041.04,2739,356,23.80
70046.11,1922,231,23.80
